Company | Open | High | Low | Close | Volume
J.G.CHEMICALS LIMITED | 346.0 | 357.0 | 345.6 | 355.4 | 46781
NILA SPACES LIMITED | 15.51 | 16.29 | 15.41 | 16.06 | 223024
SATIA INDUSTRIES LIMITED | 65.41 | 65.86 | 65.11 | 65.41 | 48928
DUDIGITAL GLOBAL LIMITED | 30.25 | 31.75 | 30.25 | 31.75 | 17500
ACME SOLAR HOLDINGS LTD | 232.5 | 235.95 | 230.36 | 232.71 | 1335471
PTC INDIA LIMITED | 158.01 | 158.35 | 152.65 | 154.4 | 1988598
BAHETI RECYCLING IND LTD | 631.0 | 637.0 | 627.0 | 630.2 | 46125
NITCO LIMITED | 90.1 | 93.5 | 90.0 | 91.67 | 187922
LORDS CHLORO ALKALI LTD | 173.32 | 181.0 | 172.08 | 176.07 | 5216
ZEE ENTERTAINMENT ENT LTD | 90.98 | 92.35 | 90.26 | 90.53 | 9262270
DYNACONS SYS & SOLN LTD | 956.3 | 974.0 | 941.6 | 967.5 | 29264
ADOR WELDING LTD | 1046.8 | 1047.0 | 1025.0 | 1029.4 | 7524
PONNIE SUGARS (ERODE) LTD | 277.4 | 277.9 | 265.1 | 268.35 | 22057
S.A.L. STEEL LTD. | 42.71 | 42.71 | 42.0 | 42.65 | 62171
ALKEM LABORATORIES LTD. | 5506.0 | 5593.0 | 5499.0 | 5555.5 | 51668
BHARTIYA INTERNATIONAL | 734.3 | 734.95 | 716.35 | 725.25 | 1233
STEL HOLDINGS LIMITED | 561.3 | 566.8 | 536.05 | 544.55 | 11138
TEGA INDUSTRIES LIMITED | 1909.0 | 1965.1 | 1904.1 | 1956.2 | 152233
GUJ STATE FERT & CHEM LTD | 170.08 | 174.25 | 169.83 | 173.64 | 890504
VIMTA LABS LIMITED | 595.95 | 609.5 | 593.15 | 606.5 | 124479
MICROPRO SOFTWARE SOL L | 20.0 | 20.0 | 20.0 | 20.0 | 3200
FUT LIFESTYLE FASH LTD | 1.4 | 1.47 | 1.39 | 1.43 | 342830
KOTAK MAHINDRA BANK LTD | 2168.5 | 2177.5 | 2156.3 | 2159.5 | 2300934
TCPL PACKAGING LIMITED | 2919.9 | 2995.0 | 2900.0 | 2932.8 | 2898
COOL CAPS INDUSTRIES LTD | 74.1 | 74.1 | 72.5 | 73.6 | 75000
PATTECH FITWELL TUB COM L | 111.15 | 111.15 | 111.15 | 111.15 | 6000
ARIES AGRO LTD. | 318.65 | 321.4 | 308.0 | 316.1 | 34191
EID PARRY INDIA LTD | 1026.8 | 1027.8 | 992.2 | 1000.2 | 355619
CLASSIC ELECTRODE (IND) L | 69.25 | 70.5 | 69.25 | 69.5 | 168000
TRIDHYA TECH LIMITED | 14.05 | 15.0 | 14.05 | 14.95 | 12000
SAKTHI SUGARS LTD | 18.95 | 19.14 | 18.71 | 19.04 | 72531
GSS INFOTECH LIMITED | 15.81 | 16.59 | 15.81 | 16.19 | 60594
STRIDES PHARMA SCI LTD | 888.95 | 957.0 | 888.95 | 930.8 | 1135457
CEAT LIMITED | 3739.7 | 3966.0 | 3731.0 | 3931.7 | 416926
ROTO PUMPS LIMITED | 77.0 | 80.77 | 73.04 | 75.81 | 34597521
ARUNAYA ORGANICS LIMITED | 18.75 | 18.75 | 18.2 | 18.6 | 12000
SAFARI IND (INDIA) LTD | 2197.0 | 2220.0 | 2184.0 | 2208.4 | 8567
GODREJ AGROVET LIMITED | 564.05 | 572.6 | 564.05 | 570.85 | 73579
DIVI S LABORATORIES LTD | 6410.0 | 6598.0 | 6408.5 | 6478.5 | 785205
TATA TELESERV(MAHARASTRA) | 49.9 | 50.86 | 49.51 | 49.87 | 5649410
SYNOPTICS TECHNOLOGIES L | 63.0 | 63.0 | 62.0 | 62.05 | 3000
ECOS (INDIA) MOB & HOSP L | 219.22 | 222.25 | 215.3 | 217.95 | 161431
FOSECO INDIA LTD | 4985.0 | 5079.0 | 4921.5 | 4991.0 | 1219
SARDA ENERGY & MIN LTD | 512.9 | 521.0 | 504.1 | 510.45 | 392155
ABHA POWER N STEEL LTD | 30.3 | 33.7 | 30.3 | 32.75 | 9600
AMJ LAND HOLDINGS LIMITED | 52.0 | 52.82 | 50.3 | 50.97 | 21753
CURRENT INFRAPROJECTS LTD | 140.15 | 142.0 | 140.1 | 142.0 | 6400
DHANLAXMI BANK LIMITED | 24.37 | 24.69 | 24.24 | 24.52 | 298492
VST INDUSTRIES LTD | 250.65 | 252.5 | 249.7 | 251.3 | 60745
OSWAL GREENTECH LIMITED | 32.41 | 33.3 | 32.41 | 33.1 | 132928
GANGA BATH FITTINGS LTD | 21.15 | 21.15 | 20.55 | 20.9 | 57000
NATIONAL HIGHW INFRA TRUS | 148.15 | 148.15 | 148.15 | 148.15 | 8825000
SPECIALITY REST LTD | 110.0 | 116.9 | 108.98 | 115.11 | 104335
PRESTIGE ESTATE LTD | 1614.5 | 1630.0 | 1599.5 | 1624.1 | 413389
BANG OVERSEAS LTD. | 48.39 | 48.99 | 47.2 | 48.47 | 5955
ARSHIYA LIMITED | 1.3 | 1.31 | 1.24 | 1.28 | 98205
VISHAL MEGA MART LIMITED | 133.21 | 139.5 | 133.21 | 138.07 | 16815519
POKARNA LIMITED | 838.5 | 852.7 | 826.7 | 849.75 | 43323
SPECTRUM ELECTRIC IND LTD | 1204.9 | 1229.8 | 1180.0 | 1205.6 | 2082
INVENTURE GRO & SEC LTD | 1.18 | 1.2 | 1.18 | 1.18 | 437684
CELLO WORLD LIMITED | 541.85 | 555.25 | 536.1 | 552.3 | 112361
PENNAR INDUSTRIES LTD | 194.37 | 195.99 | 191.32 | 195.51 | 281634
SHAIVAL REALITY LIMITED | 30.5 | 30.5 | 30.5 | 30.5 | 36000
MEP INFRA. DEVELOPERS LTD | 2.16 | 2.16 | 2.12 | 2.13 | 12128
TIJARIA POLYPIPES LTD | 5.55 | 5.77 | 5.37 | 5.42 | 72167
ACE INTEGRATED SOLU. LTD. | 22.63 | 22.63 | 21.52 | 21.73 | 1171
SAHYADRI INDUSTRIES LTD | 259.55 | 261.7 | 244.4 | 248.45 | 4674
SITI NETWORKS LIMITED | 0.38 | 0.4 | 0.38 | 0.39 | 997241
ENGINEERS INDIA LTD | 194.49 | 200.0 | 194.4 | 199.22 | 1533185
AVT NATURAL PRODUCTS LTD | 65.3 | 66.0 | 65.12 | 65.64 | 37574
VA TECH WABAG LTD | 1288.6 | 1310.0 | 1276.1 | 1296.4 | 299291
SAT KARTAR SHOPPING LTD | 151.0 | 162.0 | 150.3 | 153.35 | 55200
PRABHA ENERGY LIMITED | 181.98 | 191.3 | 181.86 | 189.86 | 17349
FAZE THREE LIMITED | 437.25 | 449.45 | 435.0 | 444.05 | 20339
DCG CABLES & WIRES LTD | 66.05 | 67.0 | 66.0 | 67.0 | 6000
KANDARP DG SMART BPO LTD | 125.8 | 130.9 | 125.8 | 130.9 | 43000
IRIS CLOTHINGS LIMITED | 36.61 | 36.61 | 35.6 | 36.01 | 425571
MAAN ALUMINIUM LIMITED | 170.7 | 173.38 | 164.29 | 166.08 | 424529
RAMKY INFRA LTD | 540.0 | 558.0 | 540.0 | 553.8 | 19691
WINNY IMMIGRA & EDU SER L | 78.0 | 78.0 | 78.0 | 78.0 | 10000
